epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
132,2963.28,0.01847,0.94805,0.99501,0.26009,0.0001354,0.0001354,0.0001354
133,2986.99,0.01561,0.94805,0.99501,0.2681,0.0001288,0.0001288,0.0001288
134,3009.51,0.0152,0.94705,0.99501,0.2643,0.0001222,0.0001222,0.0001222
135,3031.95,0.01486,0.94805,0.99501,0.26445,0.0001156,0.0001156,0.0001156
136,3054.16,0.01827,0.94805,0.996,0.25932,0.000109,0.000109,0.000109
137,3077.12,0.01303,0.95005,0.996,0.25932,0.0001024,0.0001024,0.0001024
138,3099.88,0.01382,0.95205,0.996,0.26259,9.58e-05,9.58e-05,9.58e-05
139,3123.23,0.01386,0.95005,0.996,0.25994,8.92e-05,8.92e-05,8.92e-05
140,3146.16,0.01243,0.95105,0.996,0.25465,8.26e-05,8.26e-05,8.26e-05
141,3208.48,0.01296,0.95105,0.996,0.2538,7.6e-05,7.6e-05,7.6e-05
142,3229.86,0.016,0.95105,0.996,0.25394,6.94e-05,6.94e-05,6.94e-05
143,3253.46,0.01463,0.95305,0.996,0.257,6.28e-05,6.28e-05,6.28e-05
144,3276.53,0.01175,0.95205,0.996,0.25061,5.62e-05,5.62e-05,5.62e-05
145,3300.24,0.01063,0.95305,0.996,0.24918,4.96e-05,4.96e-05,4.96e-05
146,3323.79,0.01415,0.95305,0.996,0.25148,4.3e-05,4.3e-05,4.3e-05
147,3347.72,0.01174,0.95405,0.996,0.25187,3.64e-05,3.64e-05,3.64e-05
148,3371.5,0.01366,0.95504,0.996,0.24889,2.98e-05,2.98e-05,2.98e-05
149,3395.16,0.01136,0.95504,0.996,0.25372,2.32e-05,2.32e-05,2.32e-05
150,3419.81,0.01022,0.95405,0.996,0.24943,1.66e-05,1.66e-05,1.66e-05
